1003	82331	82757	115702	mRNA	AP012548.1_1122,AP012548.1_1123,AP012548.1_1555,CP142614.1_1272,CP142614.1_840,CP142614.1_841,CP142614.1_842,CP142623.1_1289,CP142623.1_856,CP142623.1_857
1003	82331	82757	115787	gene	AP012548.1_1122,AP012548.1_1123,AP012548.1_1555,CP142614.1_1272,CP142614.1_840,CP142614.1_841,CP142614.1_842,CP142623.1_1289,CP142623.1_856,CP142623.1_857
1003	82331	82757	82681	CDS	AP012548.1_1122,AP012548.1_1123,AP012548.1_1555,CP142614.1_1272,CP142614.1_840,CP142614.1_841,CP142614.1_842,CP142623.1_1289,CP142623.1_856,CP142623.1_857
1003	82331	82757	82681	exon	AP012548.1_1122,AP012548.1_1123,AP012548.1_1555,CP142614.1_1272,CP142614.1_840,CP142614.1_841,CP142614.1_842,CP142623.1_1289,CP142623.1_856,CP142623.1_857
1005	339237	339360	356561	mRNA	AP012548.1_4065,AP012548.1_4066,CP001487.1_265,CP003000.1_3776,CP142614.1_3789,CP142623.1_2560,CP142623.1_2561
1005	339237	339360	357113	gene	AP012548.1_4065,AP012548.1_4066,CP001487.1_265,CP003000.1_3776,CP142614.1_3789,CP142623.1_2560,CP142623.1_2561
1015	222084	222752	231687	mRNA	AP012548.1_1979,AP012548.1_3682,AP012548.1_997,CP001429.2_987,CP001487.1_2386,CP001487.1_3368,CP003000.1_1569,CP142614.1_1694,CP142614.1_1695,CP142614.1_3405,CP142614.1_715,CP142614.1_716,CP142623.1_1415,CP142623.1_1416,CP142623.1_2944,CP142623.1_433,CP142623.1_434
1015	222084	222752	232768	gene	AP012548.1_1979,AP012548.1_3682,AP012548.1_997,CP001429.2_987,CP001487.1_2386,CP001487.1_3368,CP003000.1_1569,CP142614.1_1694,CP142614.1_1695,CP142614.1_3405,CP142614.1_715,CP142614.1_716,CP142623.1_1415,CP142623.1_1416,CP142623.1_2944,CP142623.1_433,CP142623.1_434
102	262907	262984	intergenic	.	AP012548.1_3035,CP142614.1_2763,CP142623.1_3587
102	289921	290098	intergenic	.	AP012548.1_1116,AP012548.1_1824,CP142614.1_1540,CP142614.1_835,CP142623.1_1295,CP142623.1_588
1038	215530	215734	intergenic	.	AP012548.1_2392,AP012548.1_2393,CP001429.2_2407,CP001429.2_2408,CP001487.1_1973,CP001487.1_1974,CP003000.1_2149,CP003000.1_2150,CP142614.1_2111,CP142614.1_2112,CP142623.1_18,CP142623.1_19
105	203606	203700	208852	mRNA	AP012548.1_2210,CP003000.1_464
105	203606	203700	208869	gene	AP012548.1_2210,CP003000.1_464
1055	238991	239111	intergenic	.	AP012548.1_3909,CP142614.1_3632,CP142614.1_3633,CP142623.1_2717
1056	71597	71723	129297	mRNA	CP003000.1_2028,CP142614.1_1986
1056	71597	71723	130302	gene	CP003000.1_2028,CP142614.1_1986
1056	71597	71723	71695	CDS	CP003000.1_2028,CP142614.1_1986
1056	71597	71723	71695	exon	CP003000.1_2028,CP142614.1_1986
