#	Chromosome	Start	End	Feature_Type	Details	Reads	Blattella-germanica-v1_annotated.tsv
1	PYGN01000004.1	1008186	1008242	intergenic	.	PYGN01000004.1:1008186-1008242	Blattella-germanica-v1_annotated.tsv
2	PYGN01000004.1	3546450	3546516	intergenic	.	PYGN01000004.1:3546450-3546516	Blattella-germanica-v1_annotated.tsv
3	PYGN01000014.1	1916965	1917082	intergenic	.	PYGN01000014.1:1916965-1917082	Blattella-germanica-v1_annotated.tsv
4	PYGN01000023.1	2069578	2069739	intergenic	.	PYGN01000023.1:2069578-2069739	Blattella-germanica-v1_annotated.tsv
5	PYGN01000024.1	2288218	2288314	"mRNA,gene"		PYGN01000024.1:2288218-2288314	Blattella-germanica-v1_annotated.tsv
6	PYGN01000025.1	3149212	3149286	intergenic	.	PYGN01000025.1:3149212-3149286	Blattella-germanica-v1_annotated.tsv
7	PYGN01000034.1	1496872	1497099	intergenic	.	PYGN01000034.1:1496872-1497099	Blattella-germanica-v1_annotated.tsv
8	PYGN01000036.1	2916946	2916998	intergenic	.	PYGN01000036.1:2916946-2916998	Blattella-germanica-v1_annotated.tsv
9	PYGN01000042.1	1359529	1359777	intergenic	.	PYGN01000042.1:1359529-1359777	Blattella-germanica-v1_annotated.tsv
10	PYGN01000050.1	2617762	2617889	intergenic	.	PYGN01000050.1:2617762-2617889	Blattella-germanica-v1_annotated.tsv
11	PYGN01000056.1	553248	553473	intergenic	.	PYGN01000056.1:553248-553473	Blattella-germanica-v1_annotated.tsv
12	PYGN01000057.1	3560064	3560176	"mRNA,gene,CDS,exon"		PYGN01000057.1:3560064-3560176	Blattella-germanica-v1_annotated.tsv
13	PYGN01000066.1	485921	485987	intergenic	.	PYGN01000066.1:485921-485987	Blattella-germanica-v1_annotated.tsv
14	PYGN01000067.1	646574	646708	intergenic	.	PYGN01000067.1:646574-646708	Blattella-germanica-v1_annotated.tsv
15	PYGN01000072.1	239525	239689	intergenic	.	PYGN01000072.1:239525-239689	Blattella-germanica-v1_annotated.tsv
16	PYGN01000079.1	676260	676331	"gene,mRNA"		PYGN01000079.1:676260-676331	Blattella-germanica-v1_annotated.tsv
17	PYGN01000084.1	1059489	1059647	intergenic	.	PYGN01000084.1:1059489-1059647	Blattella-germanica-v1_annotated.tsv
18	PYGN01000095.1	1408648	1408746	intergenic	.	PYGN01000095.1:1408648-1408746	Blattella-germanica-v1_annotated.tsv
19	PYGN01000103.1	339168	339238	gene		PYGN01000103.1:339168-339238	Blattella-germanica-v1_annotated.tsv
20	PYGN01000107.1	694180	694293	intergenic	.	PYGN01000107.1:694180-694293	Blattella-germanica-v1_annotated.tsv
21	PYGN01000110.1	1464958	1465017	intergenic	.	PYGN01000110.1:1464958-1465017	Blattella-germanica-v1_annotated.tsv
22	PYGN01000113.1	1287506	1287634	intergenic	.	PYGN01000113.1:1287506-1287634	Blattella-germanica-v1_annotated.tsv
23	PYGN01000114.1	140783	140834	"mRNA,gene"		PYGN01000114.1:140783-140834	Blattella-germanica-v1_annotated.tsv
24	PYGN01000114.1	2006209	2006281	intergenic	.	PYGN01000114.1:2006209-2006281	Blattella-germanica-v1_annotated.tsv
25	PYGN01000122.1	416226	416358	intergenic	.	PYGN01000122.1:416226-416358	Blattella-germanica-v1_annotated.tsv
26	PYGN01000126.1	102758	102817	intergenic	.	PYGN01000126.1:102758-102817	Blattella-germanica-v1_annotated.tsv
27	PYGN01000126.1	167042	167114	intergenic	.	PYGN01000126.1:167042-167114	Blattella-germanica-v1_annotated.tsv
28	PYGN01000126.1	1748238	1748532	intergenic	.	PYGN01000126.1:1748238-1748532	Blattella-germanica-v1_annotated.tsv
29	PYGN01000126.1	1927113	1927163	intergenic	.	PYGN01000126.1:1927113-1927163	Blattella-germanica-v1_annotated.tsv
