Chromosome	Start	End	Feature_Type	Details	Reads
1001	201250	201452	intergenic	.	1001:201250-201452
1003	82331	82758	exon,CDS,gene,mRNA		1003:82331-82758
1005	339237	339440	gene,mRNA		1005:339237-339440
1007	191461	191524	intergenic	.	1007:191461-191524
1008	29776	29835	intergenic	.	1008:29776-29835
1014	277530	277598	intergenic	.	1014:277530-277598
1015	222084	222754	gene,mRNA		1015:222084-222754
102	262907	262984	intergenic	.	102:262907-262984
102	289921	290101	intergenic	.	102:289921-290101
1035	6518	6569	intergenic	.	1035:6518-6569
1035	276031	276111	intergenic	.	1035:276031-276111
1036	153691	153950	intergenic	.	1036:153691-153950
1038	215525	215734	intergenic	.	1038:215525-215734
1039	85414	85505	intergenic	.	1039:85414-85505
105	203606	203710	gene,mRNA		105:203606-203710
1050	53908	53966	gene,mRNA		1050:53908-53966
1053	108745	108806	gene,mRNA		1053:108745-108806
1055	238987	239112	intergenic	.	1055:238987-239112
1056	71544	71736	exon,CDS,gene,mRNA		1056:71544-71736
1057	414825	415221	intergenic	.	1057:414825-415221
1057	440544	440611	intergenic	.	1057:440544-440611
1058	630505	630684	intergenic	.	1058:630505-630684
1059	185348	185401	intergenic	.	1059:185348-185401
106	1975	2069	intergenic	.	106:1975-2069
1063	353295	353348	gene		1063:353295-353348
106832	447	856	intergenic	.	106832:447-856
1069	113544	113634	gene,mRNA		1069:113544-113634
1073	194501	194552	intergenic	.	1073:194501-194552
1078	146482	146614	gene,mRNA		1078:146482-146614
1080	77371	77553	intergenic	.	1080:77371-77553
1088	258271	258502	polyA_signal_sequence,gene		1088:258271-258502
1092	147230	147501	intergenic	.	1092:147230-147501
1094	164611	164794	intergenic	.	1094:164611-164794
1095	351086	351203	intergenic	.	1095:351086-351203
1097	162462	162530	gene,mRNA,exon,CDS,stop_codon		1097:162462-162530
1099	85174	85414	intergenic	.	1099:85174-85414
1108	58257	58701	intergenic	.	1108:58257-58701
1108	77469	77674	intergenic	.	1108:77469-77674
1111	2125	2749	intergenic	.	1111:2125-2749
1114	131359	131530	gene,mRNA		1114:131359-131530
1115	194303	194537	intergenic	.	1115:194303-194537
1115	571518	571607	intergenic	.	1115:571518-571607
1116	75970	76026	intergenic	.	1116:75970-76026
1118	216961	217019	intergenic	.	1118:216961-217019
1118	610804	610903	gene,mRNA		1118:610804-610903
1118	1289083	1289261	gene,mRNA		1118:1289083-1289261
112	128685	128752	gene,mRNA		112:128685-128752
112	173947	174021	gene,mRNA		112:173947-174021
1124	6436	6908	intergenic	.	1124:6436-6908
1124	28635	28729	gene,mRNA		1124:28635-28729
1138	23883	24054	intergenic	.	1138:23883-24054
114	156265	156363	intergenic	.	114:156265-156363
114	176817	176995	intergenic	.	114:176817-176995
1140	112031	112107	gene,mRNA		1140:112031-112107
1144	39359	39919	intergenic	.	1144:39359-39919
1145	26714	26773	gene,mRNA		1145:26714-26773
1150	101952	102092	intergenic	.	1150:101952-102092
1151	193720	194169	intergenic	.	1151:193720-194169
1156	275881	276220	intergenic	.	1156:275881-276220
1157	179525	179689	gene,polyA_signal_sequence		1157:179525-179689
1160	31276	31392	gene,mRNA		1160:31276-31392
1162	249430	249674	gene,polyA_signal_sequence		1162:249430-249674
1164	289662	289904	intergenic	.	1164:289662-289904
1165	157700	157771	gene,mRNA		1165:157700-157771
1168	175174	175599	intergenic	.	1168:175174-175599
1172	16853	16920	gene,mRNA		1172:16853-16920
1173	689542	689816	exon,CDS,stop_codon,polyA_signal_sequence,gene,mRNA		1173:689542-689816
1173	814100	814185	intergenic	.	1173:814100-814185
1189	338131	338392	intergenic	.	1189:338131-338392
1191	396358	396570	intergenic	.	1191:396358-396570
1191	488741	489063	intergenic	.	1191:488741-489063
1191	637599	638046	intergenic	.	1191:637599-638046
1200	198130	198343	intergenic	.	1200:198130-198343
1203	11963	12284	gene,mRNA		1203:11963-12284
1207	66291	66510	intergenic	.	1207:66291-66510
1207	581209	581282	intergenic	.	1207:581209-581282
1207	583941	584101	gene		1207:583941-584101
1208	90109	90193	intergenic	.	1208:90109-90193
121	66182	66337	gene,mRNA		121:66182-66337
1226	297245	297395	intergenic	.	1226:297245-297395
1228	193765	194011	gene,mRNA		1228:193765-194011
1229	26094	26311	intergenic	.	1229:26094-26311
1238	47759	47914	gene		1238:47759-47914
1241	55244	55304	intergenic	.	1241:55244-55304
1243	701120	701184	gene,mRNA		1243:701120-701184
1245	219548	219663	intergenic	.	1245:219548-219663
125	275089	275219	intergenic	.	125:275089-275219
125	464692	465026	intergenic	.	125:464692-465026
1261	318367	318475	intergenic	.	1261:318367-318475
1261	762549	762667	intergenic	.	1261:762549-762667
1270	537327	537397	gene,mRNA		1270:537327-537397
1273	199453	199643	intergenic	.	1273:199453-199643
1275	137851	137977	gene,mRNA		1275:137851-137977
1275	138308	138432	gene,mRNA		1275:138308-138432
1275	138704	138904	gene,mRNA		1275:138704-138904
