fasta_file,sequence_id,gc_percent
Reticulitermes-lucifugus_filtered_7.v1.fasta,"R-lucifugus_JAKCWW010000895.1_Reticulitermes_lucifugus_isolate_rluci_SQ_4_scaffold895,_whole_genome_shotgun_sequence:36481-36567",41.86046511627907
Reticulitermes-lucifugus_filtered_7.v1.fasta,"R-lucifugus_JAKCWW010002501.1_Reticulitermes_lucifugus_isolate_rluci_SQ_4_scaffold2502,_whole_genome_shotgun_sequence:21127-21188",16.39344262295082
Reticulitermes-lucifugus_filtered_7.v1.fasta,"R-lucifugus_JAKCWW010002671.1_Reticulitermes_lucifugus_isolate_rluci_SQ_4_scaffold2672,_whole_genome_shotgun_sequence:18396-18465",0.0
Reticulitermes-lucifugus_filtered_7.v1.fasta,"R-lucifugus_JAKCWW010012084.1_Reticulitermes_lucifugus_isolate_rluci_SQ_4_scaffold12089,_whole_genome_shotgun_sequence:13416-13471",36.36363636363637
Reticulitermes-lucifugus_filtered_7.v1.fasta,"R-lucifugus_JAKCWW010015833.1_Reticulitermes_lucifugus_isolate_rluci_SQ_4_scaffold15841,_whole_genome_shotgun_sequence:6144-6209",3.076923076923077
Reticulitermes-lucifugus_filtered_7.v1.fasta,"R-lucifugus_JAKCWW010016733.1_Reticulitermes_lucifugus_isolate_rluci_SQ_4_scaffold16741,_whole_genome_shotgun_sequence:4617-4714",0.0
Reticulitermes-lucifugus_filtered_7.v1.fasta,"R-lucifugus_JAKCWW010023347.1_Reticulitermes_lucifugus_isolate_rluci_SQ_4_scaffold23360,_whole_genome_shotgun_sequence:7568-7628",33.33333333333333
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10026:33868-34010,23.239436619718308
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10066:544834-544896,29.03225806451613
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10071:84864-84939,28.000000000000004
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10083:722407-722479,22.22222222222222
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10096:1021509-1021699,15.263157894736842
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10102:179123-179267,22.916666666666664
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10106:9361-9438,18.181818181818183
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10127:48281-48421,23.57142857142857
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10128:1908706-1908822,15.517241379310345
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10128:397256-397378,23.770491803278688
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10129:255390-255521,15.267175572519085
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10169:601078-601203,28.000000000000004
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10169:601355-601441,34.883720930232556
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10169:828336-828475,28.776978417266186
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10180:82734-83022,20.833333333333336
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10187:1112735-1112800,27.692307692307693
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10187:83367-83545,23.595505617977526
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10192:47722-47872,40.0
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10200:76743-76895,23.684210526315788
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10219:1115012-1115213,18.90547263681592
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10232:463761-463850,24.719101123595504
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10238:1118552-1118642,30.0
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10238:1121628-1121718,31.11111111111111
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10238:1712097-1712203,16.9811320754717
Panesthia-lata_filtered_7.v1.fasta,P-lata_contig_10238:282755-283402,19.319938176197837
