file,gc_percent,num_sequences
CP003000.1.fasta,27.47925475484595,1
AP012548.1.fasta,26.4076902401619,1
CP001429.2.fasta,28.210940762393367,1
CP001487.1.fasta,27.141713119258853,1
CP003015.1.fasta,23.8468332384089,1
CP005488.1.fasta,26.08371110454738,1
GCA_014251235.1_ASM1425123v1.fasta,25.225179678950777,1
GCA_014251255.1_ASM1425125v1.fasta,26.107463545876282,1
GCA_014251275.1_ASM1425127v1.fasta,23.106831041079033,1
GCA_014251295.1_ASM1425129v1.fasta,27.935815797374598,1
GCA_014251315.1_ASM1425131v1.fasta,25.952479818369273,1
GCA_014251335.1_ASM1425133v1.fasta,26.013975619359663,1
GCA_014251355.1_ASM1425135v1.fasta,27.84941102805933,1
GCA_014251375.1_ASM1425137v1.fasta,26.627111650181934,1
GCA_014251515.1_ASM1425151v1.fasta,27.957825826179544,1
GCA_014251535.1_ASM1425153v1.fasta,25.128441034104455,1
GCA_014251555.1_ASM1425155v1.fasta,27.403018880946668,1
GCA_014251575.1_ASM1425157v1.fasta,26.967412693127645,1
GCA_014251595.1_ASM1425159v1.fasta,25.588704983832315,1
GCA_014251615.1_ASM1425161v1.fasta,26.268048402894063,1
GCA_014251635.1_ASM1425163v1.fasta,26.385847017163766,1
GCA_014251655.1_ASM1425165v1.fasta,25.34576682216579,1
GCA_014251675.1_ASM1425167v1.fasta,27.990952394286445,1
GCA_014251695.1_ASM1425169v1.fasta,25.48927869060458,1
GCA_014251715.1_ASM1425171v1.fasta,24.464054034041705,1
GCA_014251735.1_ASM1425173v1.fasta,28.00798133537951,1
GCA_014251755.1_ASM1425175v1.fasta,26.006455253646067,1
GCA_014251775.1_ASM1425177v1.fasta,22.70186357518746,1
GCA_014251795.1_ASM1425179v1.fasta,25.67072314234271,1
GCA_014251815.1_ASM1425181v1.fasta,26.508543673451072,1
GCA_014251955.1_ASM1425195v1.fasta,26.219869191825897,1
GCA_014251975.1_ASM1425197v1.fasta,21.330163482140236,1
GCA_014251995.1_ASM1425199v1.fasta,25.0704507735662,1
GCA_014252015.1_ASM1425201v1.fasta,25.726977330694883,1
GCA_014252035.1_ASM1425203v1.fasta,24.67399361846134,1
GCA_014252055.1_ASM1425205v1.fasta,24.835616746674553,1
GCA_014252075.1_ASM1425207v1.fasta,26.99378981567494,1
GCA_014252095.1_ASM1425209v1.fasta,28.010670187426506,1
GCA_014252115.1_ASM1425211v1.fasta,25.42948961499493,1
GCA_014252235.1_ASM1425223v1.fasta,28.015160087736295,1
GCA_014252255.1_ASM1425225v1.fasta,22.411413598247194,1
GCA_014252275.1_ASM1425227v1.fasta,26.473650617059434,1
GCA_014252295.1_ASM1425229v1.fasta,26.05644848923305,1
GCA_014252315.1_ASM1425231v1.fasta,21.577506893445083,1
GCA_014252335.1_ASM1425233v1.fasta,23.552935108611557,1
GCA_014252355.1_ASM1425235v1.fasta,23.30406305741016,1
GCA_014252375.1_ASM1425237v1.fasta,21.391997659278765,2
GCA_014252395.1_ASM1425239v1.fasta,22.62074085214155,1
GCA_014252415.1_ASM1425241v1.fasta,21.96529101696493,1
GCA_014252435.1_ASM1425243v1.fasta,24.686332383600906,1
GCA_014252455.1_ASM1425245v1.fasta,22.379623420509382,1
GCA_014252515.1_ASM1425251v1.fasta,27.898291418338424,1
GCA_038255535.1_ASM3825553v1.fasta,26.041421510943753,1
GCA_038257325.1_ASM3825732v1.fasta,26.176913011429377,1
GCA_038259185.1_ASM3825918v1.fasta,25.91595713725441,1
GCA_038260915.1_ASM3826091v1.fasta,25.756720796396337,1
GCA_038261755.1_ASM3826175v1.fasta,26.15328029424699,1
GCA_038262975.1_ASM3826297v1.fasta,26.133706745418046,1
GCA_038264265.1_ASM3826426v1.fasta,25.44195400700057,1
GCA_038265535.1_ASM3826553v1.fasta,25.293824392882396,1
GCA_038266905.1_ASM3826690v1.fasta,25.277676880050432,1
GCA_038268195.1_ASM3826819v1.fasta,25.286766550363733,1
GCA_038269515.1_ASM3826951v1.fasta,25.327078971603616,1
GCA_038270875.1_ASM3827087v1.fasta,25.71142194437127,1
GCA_038272405.1_ASM3827240v1.fasta,25.29087050215577,1
GCA_038273955.1_ASM3827395v1.fasta,25.295101919119674,1
GCA_038276025.1_ASM3827602v1.fasta,25.949865393406817,1
GCA_038278115.1_ASM3827811v1.fasta,25.877477831388664,1
GCA_038280235.1_ASM3828023v1.fasta,26.055302632760828,1
GCA_038282645.1_ASM3828264v1.fasta,26.123711861780674,1
GCA_038284835.1_ASM3828483v1.fasta,26.33260472781681,1
GCA_038286975.1_ASM3828697v1.fasta,26.068630177713416,1
GCA_038289285.1_ASM3828928v1.fasta,26.249882966045078,1
GCA_038291465.1_ASM3829146v1.fasta,25.804525131235156,1
GCA_038293255.1_ASM3829325v1.fasta,25.850913615907363,1
GCA_038294535.1_ASM3829453v1.fasta,26.4052260656839,1
GCA_038295885.1_ASM3829588v1.fasta,26.088844128973115,1
CP049785.1.fasta,25.3506994724658,1
